Time (s),Voltage_A2 (V),Voltage_A1 (V)
0,1.004124477,-2.482435882
2.048978806,0.99035773,-0.935252055
4.096662521,0.9664047,-0.876827273
6.144697666,0.996056049,-0.790202739
8.192339897,0.975128631,-0.777212224
10.23963928,0.986373954,-0.763281921
12.29062057,0.979919236,-0.71537728
14.33796048,0.982995311,-0.700043644
16.38516927,0.971296151,-0.688645204
18.43276358,0.981129495,-0.667096168
20.47942162,0.983146594,-0.631430297
22.52575684,0.991114143,-0.605835488
24.57406592,0.971346578,-0.36475365
26.62150621,0.981583342,-0.347499727
28.67038989,0.994291082,-0.337443072
30.71704245,0.972556835,-0.286647878
32.76526403,0.992828681,-0.272933476
34.81270885,0.966858546,-0.228913343
36.86183047,0.998627859,-0.212201069
38.90987349,0.981331204,-0.161644632
40.95864844,0.985264548,-0.151329509
43.00560474,0.995198779,-0.145391841
45.05428147,0.973615809,-0.144589234
47.10153341,1.000594538,-0.119061966
49.14965034,0.983146594,-0.050453462
51.19599915,0.993938089,-0.046356104
53.24449492,0.980776502,-0.010955928
55.292063,0.984457708,0.035111296
57.3400979,0.995198779,0.068247927
59.38811684,0.985516686,0.110907113
61.4355824,1.004326188,0.14490651
63.48367691,0.984003861,0.163437789
65.53145957,0.997720161,0.286231276
67.58032799,0.997468023,0.304712318
69.62792683,0.97825513,0.323492839
71.67558861,0.99666118,0.365959016
73.72372365,1.009116825,0.422476405
75.77109838,0.982642319,0.473506895
77.82036567,0.989197896,0.516861556
79.86826968,1.002863784,0.517783561
81.91589904,0.992677399,0.518034082
83.96358204,0.997468023,0.51823763
86.01159024,1.01083137,0.518284603
88.05977035,0.997165457,0.518300261
90.10751343,0.993534668,0.518300261
92.15539002,1.014260462,0.518315918
94.2023778,0.996762036,0.518347233
96.24953604,1.010125381,0.518409864
98.29816866,1.02096737,0.518441179
100.3460019,0.999384274,0.518441179
102.3937628,1.015521158,0.530748824
104.4408259,1.013251905,0.531623956
106.48944,1.001149243,0.649559768
108.5371554,0.999132135,0.651404192
110.5864613,1.005233887,0.656812433
112.6351414,1.021219509,0.65793785
114.6827102,1.015672442,0.660852158
116.7303877,0.999232991,0.660876444
118.7784815,1.013201477,0.662877192
120.8265798,1.029540124,0.664112549
122.8750787,1.02096737,0.668410526
124.9225917,1.008007414,0.669598476
126.9709363,1.002561218,0.678820758
129.0191405,1.016227148,0.679727358
131.0670731,1.028783704,0.68182192
133.1155221,1.014865596,0.68254095
135.1640224,1.014411745,0.691325646
137.2114873,1.018244263,0.693451488
139.2594254,1.031557246,0.698484746
141.3070762,1.038213752,0.702767719
143.3549681,1.017790412,0.704892451
145.4022019,1.014563029,0.706447401
147.450304,1.015874153,0.710259538
149.4981487,1.030296545,0.710259538
151.5463796,1.031607674,0.710309698
153.5956905,1.033927364,0.711011933
155.6439106,1.044164274,0.712115446
157.6909306,1.038163324,0.714021514
159.7393782,1.031456389,0.714924388
161.7881908,1.027573432,0.715626623
163.8376334,1.019303249,0.719789874
165.8846276,1.019051109,0.721545462
167.9325125,1.021522077,0.721645781
169.9811418,1.026010165,0.72179626
172.028024,1.039222314,0.724003284
174.0755436,1.035843631,0.724855998
176.1250334,1.038062468,0.725006477
178.1727815,1.05641834,0.726862383
180.2190456,1.064083452,0.727464298
182.2672584,1.074875145,0.730774833
184.315412,1.056569625,0.732680898
186.3635213,1.052686645,0.733533611
188.4108136,1.06100732,0.735640314
190.4581215,1.05490549,0.736392708
192.5059085,1.047996817,0.736593346
194.5544302,1.045324122,0.737145101
196.6022742,1.039978736,0.737897495
198.6505468,1.007402281,0.738198452
200.6988127,1.041441153,0.73849941
202.7470644,1.030498257,0.738950846
204.7948663,1.031910242,0.740505793
206.8434858,1.035591491,0.742913452
208.8917928,1.04537455,0.746023344
210.9402008,1.060402179,0.770952617
212.9884295,1.049307952,0.789305411
215.0372303,1.040382161,0.870117491
217.0866354,1.046130973,0.921060835
219.1344621,1.039121458,0.96952652
221.1829939,1.037507758,1.026686972
223.2312553,1.035440206,1.027030943
225.2785223,1.045273694,1.027531264
227.327148,1.033826508,1.027562534
229.3744836,1.040735158,1.027625074
231.4226861,1.044113845,1.027718884
233.4706566,1.046181402,1.11840263
235.5183797,1.050568658,1.118502947
237.5657423,1.043105282,1.321755266
239.612669,1.049660949,1.323819122
241.659559,1.063226169,1.324194369
243.7065802,1.061259462,1.324444533
245.7539735,1.069227153,1.326008063
247.8016007,1.065646733,1.326258228
249.8490698,1.067764727,1.326508393
251.897208,1.058687615,1.327634135
253.944839,1.059393612,1.327634135
255.9925513,1.046988253,1.328009383
258.0418496,1.05823376,1.329197668
260.089658,1.066504016,1.329385292
262.1361575,1.053493498,1.331011368
264.1835959,1.065949303,1.332262197
266.2339404,1.05137551,1.332262197
268.2825832,1.048753241,1.332512362
270.3311627,1.049156667,1.333763192
272.3785162,1.064234737,1.334576232
274.4257443,1.061158605,1.334951482
276.4745595,1.069378438,1.335014023
278.5233703,1.050366945,1.335201648
280.5716765,1.05107294,1.335326731
282.6202242,1.077245287,1.335889606
284.6666734,1.08143086,1.33720298
286.714524,1.070588722,1.337515688
288.7630301,1.055157632,1.338266188
290.8106973,1.050719943,1.339016689
292.8591571,1.0932816,1.340642775
294.9069793,1.085213008,1.342268862
296.9541807,1.075480288,1.342581572
299.0009036,1.058637186,1.342956823
301.0497589,1.062268029,1.343394616
303.0969019,1.088238728,1.344582913
305.1443999,1.08586858,1.345333417
307.1924217,1.066554445,1.346584257
309.2392902,1.058435473,1.346896967
311.2872896,1.090155019,1.347022051
313.3364248,1.070034009,1.347647472
315.3862426,1.087230154,1.350149157
317.4359317,1.07300929,1.351712712
319.484776,1.08143086,1.40916623
321.5340207,1.073564004,1.604626823
323.5826008,1.074623003,1.636476045
325.6310811,1.090205447,1.637579481
